city,state,avg_price
Egremont,Massachusetts,"$1,478,800.00"
Layton,Florida,"$1,478,750.00"
Reddick,Florida,"$1,475,465.39"
Skaneateles,New York,"$1,471,080.50"
Lincoln,Massachusetts,"$1,470,625.00"
East Dennis,Massachusetts,"$1,469,333.33"
East Quogue,New York,"$1,461,416.63"
Brielle,New Jersey,"$1,458,319.00"
Tierra Verde,Florida,"$1,453,598.46"
Nunnelly,Tennessee,"$1,451,966.67"
Delaplane,Virginia,"$1,451,120.63"
Paeonian Springs,Virginia,"$1,450,000.00"
Mears,Virginia,"$1,450,000.00"
Walloon Lake,Michigan,"$1,450,000.00"
Maywood,Missouri,"$1,450,000.00"
Weddington,North Carolina,"$1,448,592.70"
Sugar Loaf,New York,"$1,447,500.00"
Franklin Lakes,New Jersey,"$1,446,490.85"
Fire Island Pine,New York,"$1,444,545.46"
Ocean City,New Jersey,"$1,443,710.95"
Zirconia,North Carolina,"$1,443,666.67"
East Marion,New York,"$1,440,250.00"
Brentwood,Tennessee,"$1,439,580.00"
Mount Washington,Massachusetts,"$1,438,000.00"
Woodbury,New York,"$1,436,579.00"
Neponsit,New York,"$1,432,249.75"
Isle Au Haut,Maine,"$1,427,500.00"
Sea Bright,New Jersey,"$1,426,663.59"
New Suffolk,New York,"$1,424,500.00"
New Plymouth,Ohio,"$1,424,500.00"
Seneca,South Dakota,"$1,422,500.00"
Awendaw,South Carolina,"$1,419,250.00"
Margate,New Jersey,"$1,419,065.50"
Fulton,Maryland,"$1,417,210.00"
Unicorp Eads,Tennessee,"$1,414,950.00"
Duck,Florida,"$1,411,025.00"
Rupert,Vermont,"$1,408,000.00"
Mission Hills,Kansas,"$1,406,734.38"
North Hutchinson Island,Florida,"$1,406,666.67"
Cambridge,Massachusetts,"$1,405,656.34"
Tavernier,Florida,"$1,405,108.12"
Kingston Springs,Tennessee,"$1,402,225.00"
Parks,Arkansas,"$1,400,000.00"
Sundown,New York,"$1,400,000.00"
Breezy Point,New York,"$1,399,000.00"
Wenham,Massachusetts,"$1,398,990.00"
Gladwyne,Pennsylvania,"$1,397,511.77"
Lyme,Connecticut,"$1,396,000.00"
Merrill,Iowa,"$1,395,000.00"
Locust Valley,New York,"$1,393,528.82"
Bostwick,Georgia,"$1,392,450.00"
Granger,Texas,"$1,392,209.82"
Bay Harbor Islands,Florida,"$1,391,787.77"
Jupiter,Florida,"$1,388,838.02"
Lutts,Tennessee,"$1,387,500.00"
Saint George Island,Florida,"$1,386,978.16"
Monroe Township,Pennsylvania,"$1,386,666.67"
Big Timber,Montana,"$1,381,206.25"
West Harwich,Massachusetts,"$1,380,500.00"
Hardwick Twp,New Jersey,"$1,379,000.00"
Highland Beach,Florida,"$1,378,983.04"
Little Compton,Rhode Island,"$1,378,363.64"
Truro,Massachusetts,"$1,375,777.78"
Lido Beach,New York,"$1,375,562.23"
Briarcliff Manor,New York,"$1,375,514.95"
Bridgewater,Michigan,"$1,374,500.00"
Massey,Maryland,"$1,373,300.00"
West Lakeland,Minnesota,"$1,372,850.33"
Orbisonia,Pennsylvania,"$1,372,500.00"
Lighthouse Point,Florida,"$1,371,812.28"
Superior Township,Michigan,"$1,370,533.33"
Jericho,New York,"$1,370,505.17"
Green Mountain,North Carolina,"$1,367,333.33"
Oak Bluffs,Massachusetts,"$1,365,694.98"
Richmond,Massachusetts,"$1,364,800.00"
Rye Brook,New York,"$1,364,501.96"
West Okoboji,Iowa,"$1,364,500.00"
Hazel Green,Kentucky,"$1,364,500.00"
Ship Bottom,New Jersey,"$1,364,396.60"
Highlands,North Carolina,"$1,363,346.15"
Greenville,Delaware,"$1,358,860.67"
Marathon,Florida,"$1,357,938.75"
Indian Rocks Beach,Florida,"$1,355,354.41"
Bed Stuy,New York,"$1,354,034.38"
Valier,Montana,"$1,353,112.50"
Gloucester,Massachusetts,"$1,352,904.17"
Sudbury,Massachusetts,"$1,352,902.04"
Alberton,Montana,"$1,352,760.00"
Glen Ridge,New Jersey,"$1,352,333.33"
Hamilton,Massachusetts,"$1,352,150.00"
Searingtown,New York,"$1,351,814.50"
Hollis Hills,New York,"$1,350,600.00"
Clearwater Beach,Florida,"$1,350,223.08"
Aquinnah,Massachusetts,"$1,350,000.00"
Old Field,New York,"$1,349,500.00"
Belle Harbor,New York,"$1,349,111.11"
Westhampton,Massachusetts,"$1,348,300.00"
Naples,Florida,"$1,347,754.14"
